,Name,Age,Wage,Skill Moves,Height(cm),Weight(kg),Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Medium,High,Low
4330,J. Plašil,36,630000,2.0,182.88,71.2152,70.0,56.0,63.0,77.0,64.0,69.0,74.0,74.0,75.0,76.0,37.0,36.0,64.0,76.0,69.0,53.0,61.0,34.0,54.0,54.0,63.0,67.0,61.0,75.0,69.0,73.0,68.0,61.0,53.0,6.0,8.0,8.0,7.0,8.0,1,0,0
4331,T. Darikwa,26,945000,3.0,187.96,77.112,63.0,47.0,52.0,65.0,39.0,69.0,57.0,43.0,54.0,66.0,88.0,91.0,75.0,56.0,61.0,49.0,60.0,85.0,74.0,44.0,69.0,69.0,66.0,60.0,51.0,68.0,67.0,70.0,70.0,8.0,13.0,12.0,9.0,12.0,1,1,0
4332,Guilherme Sityá,28,245000,3.0,177.8,76.2048,72.0,30.0,52.0,68.0,28.0,68.0,67.0,49.0,66.0,70.0,81.0,79.0,78.0,66.0,76.0,53.0,75.0,78.0,77.0,29.0,60.0,65.0,47.0,68.0,36.0,60.0,67.0,67.0,69.0,9.0,7.0,11.0,8.0,7.0,0,1,0
4333,Escassi,29,245000,2.0,185.42,78.0192,55.0,36.0,67.0,72.0,36.0,57.0,47.0,60.0,61.0,71.0,58.0,41.0,70.0,69.0,62.0,46.0,70.0,77.0,76.0,43.0,77.0,71.0,50.0,53.0,49.0,57.0,74.0,68.0,64.0,16.0,11.0,8.0,7.0,7.0,1,0,0
4334,G. Achilier,33,245000,2.0,177.8,84.8232,49.0,18.0,71.0,51.0,21.0,43.0,36.0,30.0,37.0,53.0,55.0,42.0,36.0,65.0,47.0,16.0,76.0,68.0,82.0,17.0,68.0,74.0,28.0,32.0,35.0,54.0,70.0,74.0,70.0,15.0,8.0,13.0,15.0,9.0,1,0,0
4335,Verza,31,175000,2.0,180.34,78.0192,71.0,61.0,49.0,76.0,62.0,62.0,83.0,81.0,79.0,74.0,36.0,40.0,57.0,62.0,67.0,80.0,50.0,58.0,68.0,73.0,71.0,67.0,59.0,72.0,83.0,75.0,68.0,68.0,62.0,13.0,10.0,16.0,16.0,7.0,1,0,1
4336,B. Salamon,27,315000,2.0,195.57999999999998,88.9056,38.0,35.0,70.0,67.0,24.0,52.0,45.0,59.0,71.0,66.0,41.0,53.0,50.0,66.0,32.0,71.0,82.0,62.0,76.0,54.0,65.0,69.0,30.0,57.0,41.0,66.0,71.0,73.0,70.0,14.0,9.0,9.0,13.0,12.0,1,0,0
4337,A. Forshaw,26,910000,3.0,175.26,71.2152,68.0,58.0,47.0,76.0,57.0,71.0,67.0,67.0,72.0,74.0,67.0,64.0,76.0,64.0,71.0,66.0,33.0,72.0,58.0,64.0,67.0,57.0,68.0,69.0,65.0,75.0,52.0,71.0,56.0,10.0,7.0,12.0,13.0,16.0,1,0,0
4338,J. Quiñones,28,105000,2.0,195.57999999999998,86.184,27.0,21.0,79.0,41.0,29.0,31.0,28.0,49.0,64.0,55.0,34.0,30.0,31.0,68.0,29.0,66.0,30.0,72.0,93.0,41.0,76.0,72.0,25.0,38.0,35.0,59.0,70.0,75.0,64.0,14.0,8.0,10.0,8.0,12.0,1,0,0
4339,W. Camacho,32,385000,3.0,177.8,68.9472,63.0,69.0,70.0,64.0,47.0,73.0,68.0,66.0,62.0,70.0,73.0,73.0,72.0,72.0,77.0,75.0,56.0,71.0,69.0,74.0,72.0,59.0,72.0,73.0,64.0,64.0,58.0,54.0,48.0,7.0,11.0,16.0,9.0,8.0,1,0,0
4340,T. Buffel,37,280000,3.0,175.26,69.8544,72.0,68.0,51.0,72.0,68.0,70.0,66.0,67.0,68.0,72.0,62.0,54.0,65.0,67.0,70.0,64.0,58.0,66.0,59.0,66.0,65.0,59.0,80.0,76.0,73.0,81.0,39.0,43.0,45.0,13.0,8.0,8.0,15.0,15.0,1,0,1
4341,Xisco,32,280000,3.0,187.96,76.2048,49.0,69.0,75.0,60.0,73.0,64.0,56.0,58.0,37.0,70.0,53.0,59.0,55.0,66.0,58.0,74.0,66.0,72.0,91.0,63.0,70.0,27.0,79.0,53.0,76.0,60.0,40.0,20.0,19.0,8.0,6.0,15.0,16.0,7.0,1,0,0
4342,Adeilson Gesser,26,315000,3.0,175.26,69.8544,68.0,62.0,59.0,72.0,76.0,68.0,55.0,73.0,42.0,74.0,73.0,88.0,84.0,76.0,83.0,45.0,72.0,78.0,43.0,50.0,34.0,47.0,70.0,76.0,66.0,64.0,14.0,49.0,34.0,11.0,14.0,7.0,7.0,12.0,1,0,0
4343,Roderick Miranda,27,35000,2.0,193.04,88.9056,50.0,26.0,67.0,63.0,43.0,51.0,42.0,32.0,59.0,58.0,43.0,44.0,34.0,65.0,31.0,68.0,54.0,65.0,88.0,59.0,80.0,69.0,41.0,37.0,51.0,57.0,70.0,72.0,70.0,12.0,14.0,8.0,6.0,12.0,1,0,0
4344,N. Besara,27,140000,3.0,182.88,76.2048,66.0,68.0,43.0,71.0,63.0,71.0,70.0,68.0,63.0,71.0,70.0,72.0,78.0,68.0,71.0,71.0,56.0,76.0,65.0,71.0,46.0,41.0,71.0,70.0,62.0,69.0,58.0,37.0,35.0,10.0,13.0,9.0,6.0,16.0,1,1,0
4345,D. Zbozień,29,140000,2.0,185.42,79.8336,69.0,47.0,62.0,59.0,47.0,60.0,52.0,36.0,63.0,63.0,81.0,75.0,63.0,59.0,70.0,64.0,82.0,77.0,71.0,38.0,68.0,76.0,55.0,59.0,50.0,65.0,71.0,73.0,71.0,13.0,9.0,16.0,8.0,14.0,1,1,0
4346,J. Cuero,30,70000,3.0,175.26,69.8544,68.0,65.0,65.0,65.0,59.0,69.0,56.0,29.0,58.0,68.0,91.0,90.0,86.0,68.0,76.0,73.0,69.0,77.0,59.0,63.0,31.0,50.0,67.0,65.0,58.0,66.0,48.0,32.0,35.0,9.0,15.0,12.0,7.0,10.0,1,0,0
4347,R. Coly,22,525000,2.0,185.42,69.8544,74.0,37.0,62.0,68.0,34.0,66.0,48.0,20.0,63.0,67.0,79.0,83.0,72.0,62.0,61.0,43.0,83.0,78.0,75.0,44.0,70.0,61.0,66.0,32.0,24.0,63.0,64.0,71.0,70.0,8.0,13.0,13.0,13.0,13.0,1,0,0
4348,K. Müller,27,245000,1.0,190.5,89.8128,12.0,13.0,13.0,21.0,11.0,17.0,13.0,16.0,20.0,18.0,49.0,46.0,48.0,69.0,43.0,18.0,67.0,31.0,76.0,15.0,41.0,20.0,11.0,10.0,20.0,52.0,12.0,10.0,10.0,70.0,68.0,59.0,70.0,74.0,1,0,0
4349,R. Zozulya,28,245000,2.0,180.34,62.1432,51.0,67.0,75.0,67.0,69.0,61.0,33.0,54.0,42.0,64.0,80.0,79.0,75.0,70.0,71.0,75.0,85.0,66.0,77.0,62.0,75.0,41.0,71.0,62.0,63.0,58.0,45.0,41.0,24.0,6.0,11.0,12.0,14.0,11.0,0,1,0
4350,R. Mphahlele,28,35000,3.0,185.42,79.8336,68.0,24.0,63.0,64.0,32.0,64.0,45.0,42.0,67.0,72.0,74.0,72.0,59.0,59.0,69.0,32.0,63.0,73.0,71.0,49.0,39.0,69.0,59.0,49.0,36.0,74.0,73.0,77.0,73.0,11.0,13.0,9.0,13.0,13.0,1,0,0
4351,K. Lee,30,630000,3.0,177.8,76.2048,67.0,65.0,59.0,74.0,60.0,68.0,63.0,27.0,68.0,72.0,70.0,69.0,65.0,67.0,77.0,53.0,72.0,81.0,60.0,50.0,58.0,64.0,69.0,72.0,59.0,68.0,60.0,68.0,64.0,12.0,12.0,8.0,11.0,12.0,1,1,0
4352,B. Koita,27,385000,3.0,185.42,86.184,62.0,67.0,66.0,63.0,58.0,74.0,50.0,42.0,52.0,72.0,74.0,78.0,69.0,65.0,52.0,78.0,62.0,65.0,85.0,58.0,28.0,27.0,70.0,57.0,61.0,57.0,12.0,15.0,19.0,7.0,8.0,12.0,7.0,9.0,1,0,1
4353,Heltinho Melo,34,350000,3.0,175.26,68.04,76.0,58.0,50.0,68.0,68.0,75.0,73.0,74.0,64.0,71.0,83.0,80.0,78.0,65.0,81.0,46.0,69.0,67.0,52.0,41.0,46.0,58.0,74.0,76.0,71.0,72.0,30.0,58.0,49.0,10.0,8.0,7.0,9.0,7.0,0,1,1
4354,Nascimentardo,30,490000,3.0,170.18,66.2256,76.0,64.0,49.0,72.0,65.0,73.0,74.0,75.0,62.0,75.0,86.0,81.0,74.0,65.0,88.0,49.0,46.0,58.0,34.0,43.0,39.0,42.0,64.0,72.0,74.0,66.0,30.0,44.0,37.0,13.0,7.0,8.0,7.0,14.0,1,0,1
4355,P. Barrera,31,490000,3.0,177.8,72.1224,70.0,64.0,50.0,68.0,60.0,72.0,67.0,64.0,65.0,71.0,78.0,76.0,76.0,65.0,64.0,70.0,68.0,74.0,71.0,64.0,65.0,48.0,68.0,67.0,67.0,68.0,34.0,51.0,37.0,16.0,8.0,14.0,8.0,9.0,1,0,1
4356,R. Pucino,27,105000,3.0,182.88,73.9368,70.0,42.0,62.0,67.0,41.0,67.0,45.0,58.0,65.0,63.0,70.0,73.0,81.0,67.0,76.0,55.0,67.0,81.0,66.0,41.0,70.0,68.0,42.0,35.0,62.0,67.0,67.0,72.0,73.0,14.0,12.0,11.0,12.0,7.0,1,1,0
4357,Miguel Rodrigues,25,210000,2.0,187.96,76.2048,32.0,29.0,71.0,66.0,28.0,50.0,35.0,32.0,50.0,59.0,59.0,65.0,56.0,72.0,63.0,47.0,73.0,50.0,78.0,31.0,76.0,66.0,30.0,49.0,46.0,70.0,71.0,72.0,67.0,14.0,15.0,15.0,14.0,13.0,1,0,0
4358,C. Pinares,27,210000,3.0,175.26,73.0296,60.0,61.0,37.0,67.0,43.0,73.0,74.0,73.0,66.0,72.0,80.0,81.0,84.0,62.0,74.0,76.0,57.0,74.0,72.0,72.0,36.0,57.0,73.0,69.0,63.0,68.0,30.0,25.0,35.0,7.0,10.0,10.0,15.0,8.0,0,1,1
4359,A. Gonçalves,32,420000,3.0,177.8,78.9264,62.0,30.0,36.0,74.0,30.0,65.0,57.0,66.0,73.0,70.0,58.0,64.0,72.0,71.0,71.0,59.0,82.0,89.0,79.0,56.0,88.0,63.0,65.0,68.0,61.0,67.0,62.0,69.0,68.0,9.0,12.0,15.0,11.0,6.0,0,1,0
4360,K. Musona,28,525000,3.0,172.72,71.2152,65.0,72.0,64.0,67.0,70.0,74.0,69.0,67.0,65.0,71.0,79.0,79.0,88.0,73.0,82.0,74.0,80.0,72.0,43.0,70.0,49.0,25.0,70.0,62.0,73.0,67.0,21.0,33.0,35.0,6.0,7.0,8.0,15.0,12.0,1,0,1
4361,Tiago,25,280000,3.0,180.34,72.1224,73.0,71.0,54.0,73.0,63.0,72.0,80.0,70.0,70.0,72.0,84.0,80.0,71.0,64.0,69.0,71.0,72.0,63.0,67.0,71.0,46.0,48.0,73.0,66.0,71.0,64.0,49.0,34.0,32.0,10.0,11.0,14.0,7.0,15.0,0,1,1
4362,N. Leiva,21,35000,3.0,172.72,69.8544,67.0,70.0,44.0,68.0,49.0,75.0,71.0,61.0,62.0,71.0,77.0,70.0,77.0,65.0,85.0,58.0,68.0,64.0,41.0,63.0,49.0,32.0,69.0,70.0,59.0,64.0,22.0,20.0,17.0,8.0,13.0,16.0,9.0,10.0,1,0,0
4363,A. Schiavone,25,140000,3.0,180.34,83.0088,67.0,67.0,53.0,75.0,68.0,68.0,67.0,68.0,68.0,72.0,68.0,57.0,71.0,68.0,73.0,68.0,67.0,79.0,76.0,71.0,65.0,67.0,54.0,69.0,69.0,65.0,57.0,65.0,64.0,9.0,8.0,8.0,14.0,6.0,1,1,0
4364,Manuel da Costa,32,490000,2.0,190.5,83.916,33.0,28.0,71.0,52.0,28.0,50.0,34.0,36.0,58.0,56.0,53.0,60.0,51.0,57.0,43.0,72.0,81.0,64.0,83.0,60.0,82.0,68.0,30.0,38.0,44.0,52.0,69.0,74.0,64.0,9.0,7.0,9.0,15.0,8.0,1,1,0
4365,S. Hierländer,27,490000,3.0,180.34,73.0296,70.0,64.0,64.0,71.0,59.0,72.0,70.0,65.0,67.0,71.0,71.0,67.0,74.0,72.0,72.0,65.0,67.0,75.0,73.0,66.0,73.0,59.0,64.0,67.0,60.0,73.0,58.0,67.0,64.0,7.0,6.0,6.0,11.0,15.0,1,0,0
4366,Bruno Alves,36,560000,3.0,187.96,81.1944,65.0,60.0,74.0,62.0,58.0,64.0,75.0,78.0,71.0,63.0,46.0,38.0,66.0,63.0,61.0,81.0,88.0,64.0,88.0,76.0,88.0,63.0,50.0,56.0,73.0,78.0,61.0,71.0,65.0,15.0,13.0,16.0,9.0,15.0,1,0,0
4367,J. Velázquez,27,455000,2.0,182.88,79.8336,44.0,41.0,73.0,50.0,36.0,50.0,36.0,35.0,48.0,50.0,64.0,71.0,67.0,62.0,50.0,61.0,73.0,70.0,76.0,32.0,72.0,64.0,36.0,48.0,48.0,64.0,73.0,71.0,78.0,15.0,14.0,7.0,15.0,11.0,0,1,1
4368,M. Chanot,28,210000,2.0,185.42,83.916,24.0,38.0,75.0,62.0,55.0,29.0,28.0,60.0,53.0,61.0,38.0,38.0,49.0,64.0,60.0,73.0,72.0,71.0,84.0,53.0,75.0,66.0,26.0,36.0,44.0,62.0,67.0,68.0,73.0,8.0,16.0,9.0,15.0,8.0,1,0,0
4369,O. McBurnie,22,595000,3.0,190.5,77.112,40.0,73.0,71.0,65.0,58.0,70.0,42.0,31.0,37.0,68.0,64.0,72.0,61.0,68.0,65.0,73.0,69.0,74.0,80.0,57.0,60.0,28.0,72.0,65.0,60.0,63.0,32.0,29.0,20.0,13.0,11.0,12.0,13.0,13.0,1,1,0
4370,J. Onomah,21,1155000,3.0,185.42,83.0088,53.0,59.0,45.0,74.0,52.0,73.0,54.0,49.0,68.0,73.0,75.0,74.0,72.0,65.0,73.0,62.0,57.0,68.0,68.0,59.0,45.0,46.0,68.0,67.0,42.0,62.0,60.0,64.0,44.0,6.0,13.0,12.0,9.0,10.0,1,0,0
4371,M. Madl,30,350000,2.0,180.34,73.9368,51.0,40.0,70.0,65.0,38.0,52.0,68.0,70.0,63.0,61.0,55.0,54.0,63.0,60.0,57.0,68.0,77.0,89.0,77.0,69.0,77.0,71.0,25.0,59.0,57.0,64.0,71.0,71.0,67.0,7.0,15.0,13.0,8.0,12.0,1,1,0
4372,Cucurella,19,945000,3.0,172.72,68.9472,74.0,51.0,57.0,72.0,39.0,71.0,66.0,48.0,66.0,74.0,82.0,85.0,74.0,69.0,78.0,57.0,71.0,88.0,60.0,48.0,70.0,63.0,67.0,71.0,47.0,64.0,65.0,63.0,64.0,13.0,7.0,9.0,10.0,11.0,1,1,0
4373,C. Araujo,36,245000,3.0,172.72,68.9472,55.0,33.0,58.0,69.0,56.0,76.0,53.0,47.0,66.0,76.0,72.0,59.0,71.0,68.0,66.0,65.0,75.0,70.0,65.0,48.0,68.0,66.0,40.0,59.0,61.0,68.0,78.0,81.0,78.0,16.0,16.0,16.0,8.0,8.0,1,0,0
4374,M. Hartmann,30,420000,2.0,193.04,93.8952,38.0,51.0,72.0,62.0,49.0,52.0,36.0,40.0,63.0,56.0,46.0,52.0,37.0,72.0,50.0,67.0,41.0,80.0,85.0,57.0,80.0,75.0,53.0,54.0,54.0,76.0,75.0,74.0,70.0,15.0,14.0,12.0,15.0,11.0,1,0,0
4375,M. Spiranovic,30,175000,2.0,193.04,87.9984,42.0,19.0,72.0,67.0,18.0,22.0,29.0,44.0,54.0,52.0,61.0,66.0,41.0,67.0,33.0,44.0,47.0,69.0,81.0,19.0,52.0,73.0,24.0,49.0,53.0,70.0,70.0,76.0,69.0,12.0,13.0,15.0,12.0,7.0,1,0,0
4376,Chong Te Se,34,140000,3.0,180.34,79.8336,58.0,71.0,72.0,67.0,66.0,64.0,64.0,57.0,58.0,66.0,59.0,71.0,61.0,73.0,71.0,72.0,74.0,67.0,77.0,71.0,82.0,28.0,71.0,72.0,65.0,72.0,38.0,44.0,33.0,6.0,9.0,8.0,11.0,11.0,1,1,0
4377,M. Albornoz,27,630000,3.0,180.34,79.8336,77.0,36.0,59.0,74.0,60.0,75.0,80.0,69.0,70.0,73.0,74.0,67.0,73.0,70.0,76.0,69.0,66.0,75.0,67.0,67.0,78.0,63.0,58.0,64.0,66.0,71.0,70.0,67.0,71.0,10.0,10.0,9.0,10.0,10.0,1,0,1
4378,A. Nukan,24,770000,2.0,195.57999999999998,86.184,39.0,29.0,75.0,64.0,29.0,57.0,37.0,39.0,68.0,59.0,34.0,38.0,36.0,69.0,31.0,68.0,65.0,34.0,90.0,24.0,76.0,65.0,37.0,48.0,41.0,54.0,64.0,73.0,69.0,13.0,10.0,8.0,15.0,11.0,1,1,0
4379,L. Szukała,34,455000,2.0,195.57999999999998,91.17360000000001,41.0,28.0,75.0,64.0,28.0,39.0,34.0,40.0,60.0,55.0,32.0,31.0,31.0,62.0,31.0,64.0,34.0,56.0,93.0,28.0,75.0,66.0,31.0,55.0,42.0,63.0,68.0,72.0,70.0,13.0,14.0,8.0,7.0,12.0,0,1,1
4380,E. Perlaza,29,105000,2.0,172.72,72.1224,76.0,24.0,53.0,72.0,19.0,57.0,35.0,26.0,56.0,58.0,74.0,76.0,73.0,65.0,75.0,57.0,74.0,92.0,61.0,19.0,80.0,62.0,48.0,57.0,31.0,60.0,60.0,70.0,73.0,14.0,11.0,11.0,10.0,16.0,1,0,0
4381,M. Dal Hende,27,455000,3.0,177.8,74.844,65.0,66.0,68.0,66.0,66.0,70.0,63.0,52.0,66.0,70.0,77.0,78.0,69.0,71.0,75.0,65.0,80.0,83.0,78.0,57.0,81.0,64.0,69.0,60.0,54.0,71.0,65.0,68.0,67.0,6.0,12.0,12.0,8.0,8.0,0,1,0
4382,Emerson Avintes,26,385000,3.0,177.8,71.2152,71.0,69.0,48.0,74.0,66.0,68.0,79.0,75.0,65.0,74.0,50.0,63.0,75.0,66.0,73.0,71.0,79.0,69.0,56.0,75.0,63.0,21.0,75.0,69.0,59.0,77.0,18.0,25.0,21.0,10.0,9.0,12.0,8.0,8.0,1,0,0
4383,Saberto Botelho,30,315000,2.0,182.88,77.112,39.0,42.0,69.0,68.0,49.0,52.0,37.0,32.0,66.0,62.0,65.0,68.0,58.0,67.0,65.0,70.0,72.0,82.0,80.0,53.0,88.0,66.0,51.0,46.0,46.0,67.0,73.0,75.0,71.0,13.0,12.0,14.0,16.0,14.0,1,0,0
4384,J. Dahlin,31,140000,1.0,190.5,89.8128,9.0,10.0,12.0,24.0,13.0,11.0,14.0,13.0,32.0,24.0,41.0,34.0,38.0,68.0,35.0,16.0,66.0,39.0,77.0,19.0,44.0,22.0,13.0,45.0,13.0,65.0,22.0,11.0,10.0,68.0,69.0,71.0,69.0,73.0,1,0,0
4385,Martin Cordeia,34,595000,3.0,180.34,76.2048,74.0,64.0,30.0,74.0,70.0,67.0,78.0,72.0,75.0,75.0,51.0,53.0,68.0,71.0,60.0,79.0,50.0,72.0,76.0,76.0,40.0,45.0,66.0,75.0,75.0,78.0,34.0,35.0,30.0,12.0,10.0,13.0,7.0,9.0,1,0,0
4386,A. Oukidja,29,140000,1.0,182.88,78.9264,13.0,14.0,16.0,24.0,15.0,14.0,11.0,18.0,27.0,12.0,48.0,45.0,54.0,66.0,58.0,26.0,67.0,35.0,60.0,19.0,24.0,18.0,11.0,31.0,24.0,56.0,12.0,19.0,12.0,73.0,67.0,62.0,70.0,76.0,1,0,0
4387,B. Angulo,22,0,3.0,182.88,69.8544,50.0,78.0,69.0,56.0,46.0,76.0,58.0,58.0,33.0,71.0,82.0,79.0,78.0,73.0,64.0,72.0,69.0,77.0,69.0,54.0,28.0,16.0,62.0,45.0,82.0,51.0,11.0,18.0,12.0,11.0,8.0,10.0,7.0,6.0,0,1,1
4388,S. Burchert,28,210000,1.0,187.96,78.0192,11.0,14.0,13.0,23.0,11.0,11.0,15.0,11.0,22.0,20.0,48.0,43.0,42.0,65.0,31.0,17.0,63.0,32.0,65.0,15.0,32.0,18.0,14.0,18.0,17.0,36.0,18.0,14.0,14.0,71.0,69.0,68.0,71.0,70.0,1,0,0
4389,Nélson Monte,22,175000,2.0,187.96,78.0192,52.0,28.0,65.0,64.0,33.0,53.0,43.0,38.0,64.0,60.0,57.0,54.0,57.0,70.0,56.0,49.0,74.0,64.0,76.0,31.0,64.0,75.0,41.0,44.0,46.0,63.0,70.0,72.0,70.0,13.0,15.0,9.0,11.0,11.0,1,0,0
4390,D. Rojas,23,210000,3.0,165.1,52.164,65.0,67.0,40.0,71.0,58.0,73.0,63.0,67.0,67.0,71.0,68.0,67.0,78.0,60.0,83.0,68.0,31.0,70.0,56.0,66.0,44.0,54.0,67.0,72.0,52.0,58.0,31.0,35.0,20.0,13.0,12.0,16.0,11.0,7.0,1,0,0
4391,Charles,24,140000,1.0,185.42,83.916,12.0,13.0,20.0,22.0,19.0,20.0,19.0,13.0,18.0,24.0,28.0,32.0,48.0,70.0,34.0,19.0,62.0,30.0,52.0,18.0,25.0,20.0,10.0,48.0,18.0,37.0,14.0,18.0,13.0,72.0,68.0,63.0,70.0,74.0,1,0,0
4392,H. Wolf,19,350000,4.0,175.26,68.04,62.0,61.0,56.0,67.0,60.0,78.0,71.0,64.0,63.0,75.0,84.0,81.0,79.0,64.0,74.0,68.0,73.0,67.0,52.0,63.0,54.0,38.0,69.0,66.0,66.0,68.0,23.0,33.0,35.0,13.0,10.0,13.0,6.0,8.0,1,0,0
4393,E. Videla,30,280000,3.0,175.26,73.0296,65.0,60.0,56.0,72.0,62.0,70.0,63.0,43.0,70.0,70.0,67.0,64.0,69.0,77.0,73.0,68.0,74.0,75.0,69.0,66.0,74.0,75.0,62.0,67.0,54.0,67.0,69.0,72.0,68.0,16.0,9.0,7.0,12.0,9.0,1,1,0
4394,P. Ledesma,34,315000,3.0,177.8,78.9264,63.0,45.0,64.0,81.0,58.0,66.0,62.0,59.0,74.0,70.0,52.0,49.0,64.0,71.0,65.0,70.0,66.0,69.0,74.0,58.0,76.0,64.0,62.0,74.0,64.0,73.0,60.0,65.0,64.0,10.0,9.0,8.0,11.0,9.0,1,0,0
4395,R. van Drongelen,19,140000,2.0,185.42,81.1944,46.0,20.0,70.0,67.0,35.0,44.0,44.0,50.0,65.0,60.0,64.0,68.0,55.0,60.0,57.0,29.0,75.0,65.0,79.0,24.0,63.0,67.0,22.0,56.0,48.0,59.0,73.0,75.0,69.0,14.0,14.0,8.0,7.0,11.0,1,0,0
4396,F. Jensen,20,385000,3.0,182.88,79.8336,68.0,68.0,56.0,70.0,70.0,75.0,61.0,40.0,63.0,74.0,72.0,75.0,72.0,63.0,68.0,75.0,68.0,75.0,75.0,66.0,64.0,41.0,67.0,68.0,48.0,72.0,49.0,57.0,56.0,5.0,11.0,6.0,6.0,7.0,0,1,0
4397,Artur,22,175000,3.0,180.34,69.8544,51.0,49.0,59.0,71.0,40.0,72.0,45.0,59.0,68.0,73.0,65.0,72.0,77.0,70.0,67.0,59.0,62.0,83.0,67.0,37.0,71.0,67.0,60.0,57.0,57.0,68.0,65.0,71.0,67.0,6.0,6.0,10.0,13.0,5.0,1,0,0
4398,Edgar Costa,31,245000,3.0,177.8,78.0192,73.0,67.0,58.0,64.0,74.0,74.0,70.0,69.0,58.0,72.0,77.0,74.0,73.0,73.0,70.0,72.0,68.0,57.0,72.0,73.0,61.0,43.0,75.0,69.0,72.0,63.0,27.0,39.0,35.0,10.0,12.0,11.0,11.0,16.0,0,1,0
4399,S. Martínez,24,245000,3.0,175.26,68.04,56.0,44.0,45.0,71.0,61.0,66.0,52.0,53.0,67.0,67.0,69.0,67.0,61.0,67.0,62.0,55.0,80.0,82.0,64.0,37.0,69.0,72.0,41.0,59.0,45.0,58.0,69.0,69.0,73.0,8.0,13.0,12.0,7.0,13.0,1,1,0
4400,D. Fisher,24,280000,3.0,175.26,69.8544,61.0,20.0,58.0,57.0,26.0,65.0,31.0,32.0,50.0,66.0,79.0,79.0,72.0,69.0,63.0,32.0,70.0,80.0,73.0,26.0,84.0,70.0,37.0,42.0,35.0,56.0,70.0,75.0,73.0,12.0,14.0,10.0,14.0,6.0,1,1,0
4401,L. Clarke,33,350000,2.0,187.96,88.9056,50.0,73.0,75.0,60.0,67.0,62.0,44.0,48.0,54.0,68.0,59.0,62.0,56.0,68.0,51.0,70.0,76.0,66.0,86.0,61.0,82.0,27.0,73.0,58.0,73.0,75.0,30.0,21.0,22.0,13.0,10.0,6.0,8.0,8.0,1,0,0
4402,T. Hubočan,32,805000,2.0,182.88,69.8544,59.0,45.0,70.0,63.0,52.0,50.0,38.0,32.0,57.0,56.0,65.0,53.0,74.0,63.0,70.0,67.0,83.0,76.0,77.0,57.0,75.0,66.0,42.0,54.0,61.0,73.0,69.0,75.0,74.0,9.0,15.0,7.0,8.0,12.0,1,0,0
4403,Dani Castellano,30,245000,3.0,180.34,69.8544,71.0,46.0,61.0,72.0,45.0,72.0,64.0,47.0,62.0,69.0,72.0,73.0,71.0,70.0,74.0,62.0,71.0,68.0,75.0,53.0,67.0,68.0,59.0,59.0,48.0,64.0,62.0,71.0,73.0,6.0,7.0,15.0,14.0,11.0,1,1,0
4404,Javi Castellano,30,245000,2.0,182.88,73.0296,49.0,34.0,66.0,76.0,33.0,46.0,43.0,40.0,71.0,66.0,57.0,40.0,62.0,59.0,48.0,52.0,50.0,67.0,72.0,44.0,76.0,74.0,39.0,65.0,44.0,62.0,66.0,74.0,68.0,11.0,10.0,16.0,8.0,12.0,0,1,1
4405,P. Olkowski,28,280000,3.0,182.88,76.2048,68.0,49.0,55.0,70.0,56.0,71.0,53.0,36.0,58.0,70.0,75.0,79.0,73.0,70.0,65.0,67.0,61.0,81.0,72.0,65.0,68.0,67.0,64.0,60.0,47.0,67.0,65.0,72.0,68.0,13.0,15.0,10.0,15.0,10.0,1,0,0
4406,M. Caligiuri,34,245000,2.0,180.34,74.844,64.0,50.0,66.0,68.0,53.0,62.0,56.0,48.0,69.0,66.0,65.0,65.0,72.0,69.0,69.0,68.0,86.0,67.0,72.0,55.0,68.0,69.0,57.0,62.0,63.0,72.0,73.0,72.0,68.0,6.0,11.0,10.0,6.0,14.0,1,0,1
4407,Marlion Rolim,26,630000,3.0,175.26,69.8544,58.0,70.0,54.0,68.0,59.0,64.0,62.0,41.0,65.0,73.0,62.0,71.0,72.0,75.0,78.0,58.0,44.0,52.0,54.0,68.0,60.0,65.0,74.0,71.0,55.0,76.0,34.0,52.0,46.0,12.0,12.0,16.0,7.0,8.0,1,0,0
4408,D. Burn,26,875000,2.0,198.12,87.0912,43.0,25.0,73.0,59.0,22.0,47.0,48.0,46.0,60.0,53.0,42.0,44.0,31.0,65.0,26.0,53.0,55.0,63.0,89.0,29.0,72.0,67.0,37.0,49.0,48.0,62.0,72.0,69.0,69.0,15.0,13.0,7.0,8.0,10.0,1,0,1
4409,S. Schwab,27,385000,3.0,182.88,78.0192,67.0,63.0,69.0,71.0,64.0,66.0,65.0,60.0,76.0,72.0,68.0,73.0,65.0,69.0,68.0,68.0,66.0,84.0,84.0,69.0,70.0,63.0,62.0,73.0,65.0,69.0,67.0,63.0,65.0,15.0,10.0,16.0,13.0,6.0,1,0,0
